GeneIndex,Weight
879; -0,4938449
880; -0,04522431
881; 0,5272326
882; 0,3290408
883; 0,155661
884; -0,8216293
885; 0,9089088
886; -0,1519557
887; -0,05456936
888; 0,383377
889; 0,4480774
890; 0,7161453
891; -0,7866638
892; 0,7236114
893; -0,5492554
894; -0,8228425
895; 0,3638472
896; -0,8084459
897; -0,4343032
898; 0,007271171
899; 0,102214
900; -0,360747
901; 0,4046855
902; -0,3765246
903; 0,329323
904; -0,6946383
905; 0,5290658
906; -0,231284
907; 0,8734138
908; 0,6531289
909; 0,445234
910; -0,2909991
911; -0,6166062
912; 0,1244677
913; -0,09910071
914; 0,95279
915; 0,7644708
916; 0,0529505
917; -0,5722244
918; -0,2653002
919; 0,05929935
920; -0,4379438
921; 0,2559159
922; 0,9494729
923; -0,05684602
924; -0,3330625
925; 0,2461485
926; -0,6901635
927; 0,8141353
928; 0,3303253
929; 0,5942016
930; 0,4312365
931; 0,5016203
932; -0,1705517
933; 0,3937201
934; 0,2083994
935; 0,6970291
936; -0,3431233
937; -0,2735957
938; -0,5783319
939; 0,7145631
940; 0,7891989
941; -0,02321041
942; -0,9491658
943; -0,9596088
944; 0,07574046
945; -0,6342559
946; 0,8586726
947; -0,50021
948; 0,8326564
949; -0,001645446
950; -0,6849983
951; -0,3101288
952; -0,3487929
953; -0,9233084
954; 0,4979133
955; -0,895411
956; 0,3048088
957; -0,9472768
958; -0,9364417
959; -0,31854
960; 0,9526598
961; 0,6313448
962; 0,5202441
963; -0,1626805
964; 0,4259
965; -0,07201278
966; -0,1516644
967; 0,3324125
968; 0,4582257
969; 0,8188663
970; -0,01688039
971; 0,4802687
972; 0,613457
973; 0,5758717
974; -0,2425829
975; 0,6743815
976; 0,1114324
977; -0,1886562
978; -0,6429014
979; -0,4533304
980; 0,5505221
981; 0,9959446
982; -0,1552609
983; -0,4083236
984; -0,3385228
985; 0,7669232
986; 0,5856364
987; -0,8616796
988; -0,03410971
989; 0,4461758
990; 0,4525487
991; 0,444041
992; 0,5979526
993; 0,13437
994; -0,6279929
995; 0,5669465
996; 0,1901799
997; 0,5705791
998; 0,7115405
999; 0,9682474
1000; -0,4233335
1001; -0,8717051
1002; -0,9531937
1003; -0,5983067
1004; -0,2041324
1005; 0,01388085
1006; 0,5113442
1007; -0,2200719
1008; -0,04235876
1009; -0,9101479
1010; -0,4921829
1011; -0,8327708
1012; -0,5898259
1013; -0,8461978
1014; 0,842742
1015; -0,1432697
1016; -0,6136255
1017; -0,787828
1018; 0,3753347
1019; -0,3579706
1020; -0,7345057
1021; -0,5965059
1022; -0,8366153
1023; -0,7814355
1024; 0,4105224
1025; -0,8046959
1026; 0,7536101
1027; -0,7433298
1028; -0,5827827
1029; 0,6416731
1030; 0,5345528
1031; 0,4326162
1032; 0,4984085
1033; -0,5964708
1034; -0,9800961
1035; -0,2087773
1036; 0,2196656
1037; 0,4775285
1038; -0,5845468
1039; -0,6055732
1040; 0,7546439
1041; -0,8364115
1042; -0,8861263
1043; 0,4420221
1044; 0,9145405
1045; -0,8193181
1046; -0,5585754
