Generation;Fitness
13;-0,03
13;-0,03
13;0
13;-0,32
13;-0,72
13;0
13;-0,07966745
13;-0,49
13;-0,26
13;0,485153
13;0,1949388
13;-0,06
13;-0,62
13;-0,02
13;0
13;0,1889243
13;0
13;0,1509005
13;-0,26
13;-0,22
13;0
13;0
13;-0,22
13;-0,18
13;-0,27
13;-0,09
13;0
13;0,02841875
13;0,4112585
13;-0,57
13;0,2271048
13;-0,05
13;0
14;0,7412737
14;0,6524644
14;15,09303
14;0
14;15,04184
14;0,4794745
14;0,6054813
14;15,45013
14;15,34161
14;-0,2
14;14,75826
14;0,6179688
14;15,24346
14;0,7582269
14;0,4873753
14;15,13362
14;0,2796893
14;0,5487771
14;0,4323493
14;0
14;15,04196
14;0,1982294
14;15,37596
14;0,8272444
14;15,45136
14;0,6463288
14;0,7288777
14;0,850771
14;0,8298184
14;0,2806036
14;0,3986675
14;15,72978
14;0,2887003
14;0,2364559
14;0,6206249
14;0,7388481
14;15,21205
14;0,6069767
14;0,3541487
14;0,8467827
14;0,2439297
14;0,641847
14;0,2336551
14;0,8057586
14;15,777
14;0,2175855
14;15,80825
14;0
14;15,27083
14;15,848
14;0,7400503
14;0,6049267
14;0,3351149
14;15,22783
14;15,76665
14;15,0789
14;15,72468
14;0,5179496
14;14,92426
14;0,6115807
15;-0,1631395
15;0,4964775
15;0,09315219
15;-0,2284933
15;0,1919888
15;-0,2
15;-0,09330027
15;-0,2557785
15;-0,4166727
15;0,5588164
15;15,07671
15;-0,07
15;15,503
15;0,2184048
15;0,04448876
15;0,04533762
15;0,005292844
15;-0,1344749
15;-0,3944827
15;-0,05491608
15;0,1296427
15;0,1592343
15;0,4470952
15;0,1400984
15;15,80527
15;0,2156152
15;0,05111688
15;15,4372
15;15,67465
15;0,1160031
15;0,09871568
15;-0,173955
15;-0,1595869
15;0,2325105
15;-0,06086128
15;15,12636
15;0,1794337
15;0,319102
15;0,07269713
15;0
15;15,10868
15;0,08462876
15;0,1895931
15;0,8868411
15;15,35506
15;0,05212679
15;0,1838629
15;0,02833001
15;0,147227
15;0,157009
15;0,07654782
15;-0,1746554
15;0,2539713
15;0,08259683
15;-0,2002536
15;-0,09982924
15;0,1851703
15;15,73406
15;-0,02376509
15;-0,00863984
16;-0,2483339
16;0,05648715
16;-0,04
16;0,3470954
16;0,388942
16;0,3661535
16;-0,151107
16;-0,21
16;-0,08
16;0,3388993
16;0,4000078
16;0,3560064
16;0,07662176
16;0,3199582
16;0,1004483
16;-0,367429
16;0
16;0,364145
16;-0,41
16;-0,12
16;-0,04
16;0,2544472
16;-0,12
16;-0,220096
16;-0,2189334
16;-0,1654271
16;0,404862
16;0,3228602
16;0,2452264
16;-0,03
16;-0,17
16;-0,07
16;-0,06440285
16;0,2913662
16;0,4288853
16;0,3501146
16;-0,36
16;0,3547851
16;0,4651137
16;-0,56
16;0,2270531
16;-0,26
16;0,3912681
16;0,3163488
16;-0,35
16;0,4975528
16;0,005427958
16;0,2879393
16;-0,1522088
16;15,31458
16;0,3278826
16;0,2054034
16;0,3787901
16;0,3289946
16;0,2694808
16;0,2793348
16;-0,04
16;0,263263
16;0
16;-0,54
17;0,2872516
17;0,1938828
17;0,4259255
17;0,5369457
17;0,2168195
17;0,4042691
17;-1,03
17;0,128819
17;0,1797277
17;0,461873
17;0
